name	code	global_id	parent_id	local_id	level
Derbyshire and Nottinghamshire	UKF1	282	30	50	3
Leicestershire, Rutland and Northamptonshire	UKF2	283	30	50	3
Lincolnshire	UKF3	284	30	50	3
Herefordshire, Worcestershire and Warwickshire	UKG1	285	30	50	3
Shropshire and Staffordshire	UKG2	286	30	50	3
West Midlands	UKG3	287	30	50	3
East Anglia	UKH1	288	30	50	3
Bedfordshire and Hertfordshire	UKH2	289	30	50	3
Essex	UKH3	290	30	50	3
Inner London — West	UKI3	291	30	50	3
Inner London — East	UKI4	292	30	50	3
Outer London — East and North East	UKI5	293	30	50	3
Outer London — South	UKI6	294	30	50	3
Outer London — West and North West	UKI7	295	30	50	3
Berkshire, Buckinghamshire and Oxfordshire	UKJ1	296	30	50	3
Surrey, East and West Sussex	UKJ2	297	30	50	3
Hampshire and Isle of Wight	UKJ3	298	30	50	3
Kent	UKJ4	299	30	50	3
Gloucestershire, Wiltshire and Bristol/Bath area	UKK1	300	30	50	3
Dorset and Somerset	UKK2	301	30	50	3
Cornwall and Isles of Scilly	UKK3	302	30	50	3
Devon	UKK4	303	30	50	3
West Wales and The Valleys	UKL1	304	30	50	3
East Wales	UKL2	305	30	50	3
North Eastern Scotland	UKM5	306	30	50	3
Highlands and Islands	UKM6	307	30	50	3
Eastern Scotland	UKM7	308	30	50	3
West Central Scotland	UKM8	309	30	50	3
Southern Scotland	UKM9	310	30	50	3
Northern Ireland	UKN0	311	30	50	3
